Timestamp,Texture1,Texture2,Texture3,Texture4,Texture5,Texture6,Texture7,Texture8
2023-09-20 10:36:03.100,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:36:03.304,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:36:03.506,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:36:03.707,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:36:03.911,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:36:04.116,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:36:04.319,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:36:04.523,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:36:04.726,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:36:04.930,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:36:05.133,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:36:27.437,0.00,0.65,0.00,0.00,0.35,0.00,0.00,0.00
2023-09-20 10:36:27.638,0.00,0.65,0.00,0.00,0.35,0.00,0.00,0.00
2023-09-20 10:36:27.839,0.00,0.65,0.00,0.00,0.35,0.00,0.00,0.00
2023-09-20 10:36:28.046,0.00,0.65,0.00,0.00,0.35,0.00,0.00,0.00
2023-09-20 10:36:28.251,0.00,0.65,0.00,0.00,0.35,0.00,0.00,0.00
2023-09-20 10:36:28.456,0.00,0.65,0.00,0.00,0.35,0.00,0.00,0.00
2023-09-20 10:36:28.659,0.00,0.65,0.00,0.00,0.35,0.00,0.00,0.00
2023-09-20 10:36:28.865,0.00,0.91,0.00,0.00,0.09,0.00,0.00,0.00
2023-09-20 10:36:29.074,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:36:29.300,0.00,0.93,0.00,0.00,0.07,0.00,0.00,0.00
2023-09-20 10:36:29.493,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-09-20 10:36:29.698,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-09-20 10:36:29.904,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-09-20 10:36:30.106,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-09-20 10:36:30.308,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
