Time,X,Y,Z
2023-09-20 12:17:38.036,179.879,45.71283,119.0362
2023-09-20 12:17:38.244,179.7091,45.77763,118.5041
2023-09-20 12:17:38.453,179.5386,45.84615,118.036
2023-09-20 12:17:38.663,179.3741,45.91758,117.6485
2023-09-20 12:17:38.885,179.2165,45.98977,117.3102
2023-09-20 12:17:39.080,179.0722,46.05449,117.017
2023-09-20 12:17:39.288,178.9245,46.09333,116.7146
2023-09-20 12:17:39.497,178.7861,46.12537,116.4224
2023-09-20 12:17:39.706,178.6234,46.1511,116.0713
2023-09-20 12:17:39.914,178.4492,46.16285,115.702
2023-09-20 12:17:40.124,178.2606,46.16242,115.3169
2023-09-20 12:17:40.333,178.0582,46.14822,114.9255
2023-09-20 12:17:40.556,177.8181,46.12629,114.4945
2023-09-20 12:17:40.751,177.5806,46.08891,114.0602
2023-09-20 12:17:40.960,177.324,46.03036,113.5583
2023-09-20 12:17:41.169,177.0804,45.98231,113.0489
2023-09-20 12:17:41.377,176.8611,45.94817,112.5697
2023-09-20 12:17:41.585,176.6489,45.91611,112.0968
2023-09-20 12:17:41.794,176.4385,45.90746,111.6158
2023-09-20 12:17:42.002,176.2685,45.9117,111.2073
2023-09-20 12:17:42.210,176.0931,45.9064,110.789
2023-09-20 12:17:42.419,175.9542,45.88422,110.4907
2023-09-20 12:17:42.627,175.8326,45.87339,110.2669
2023-09-20 12:17:42.836,175.6828,45.86441,110.0345
2023-09-20 12:17:43.070,175.4771,45.96999,109.8353
2023-09-20 12:17:43.293,175.3242,46.07456,109.7702
2023-09-20 12:17:43.516,175.1743,46.09316,109.7681
2023-09-20 12:17:43.739,175.0041,46.08468,109.8071
2023-09-20 12:17:43.962,174.8906,46.02924,109.9183
2023-09-20 12:17:44.185,174.7721,46.0446,109.9397
2023-09-20 12:17:44.407,174.7127,46.06446,109.9346
2023-09-20 12:17:44.602,174.6336,46.08298,109.9007
2023-09-20 12:17:44.825,174.342,46.1464,109.78
2023-09-20 12:17:45.048,173.9886,45.71509,109.7489
2023-09-20 12:17:45.270,173.6853,45.67043,109.5257
2023-09-20 12:17:45.493,173.3338,45.59158,109.3927
2023-09-20 12:17:45.715,172.9626,45.55378,109.3402
2023-09-20 12:17:45.938,172.7054,45.46071,109.3267
2023-09-20 12:17:46.161,172.4607,45.40314,109.2594
2023-09-20 12:17:46.357,172.2303,45.32285,109.1355
2023-09-20 12:17:46.580,172.0323,45.12801,108.9996
2023-09-20 12:17:46.803,171.8342,44.94978,108.8825
2023-09-20 12:17:47.025,171.6362,44.86308,108.7755
2023-09-20 12:17:47.249,171.4589,44.79072,108.6541
2023-09-20 12:17:47.472,171.3059,44.73373,108.5217
2023-09-20 12:17:47.695,171.1782,44.70472,108.3776
2023-09-20 12:17:47.917,171.0855,44.69221,108.2446
2023-09-20 12:17:48.141,170.9263,44.67411,107.9564
2023-09-20 12:17:48.363,170.6862,44.59618,107.4459
2023-09-20 12:17:48.586,170.4826,44.45713,106.9605
2023-09-20 12:17:48.808,170.31,44.27788,106.5221
2023-09-20 12:17:49.005,170.1767,44.14628,106.1622
2023-09-20 12:17:49.215,170.0428,44.0437,105.759
2023-09-20 12:17:49.424,169.9057,43.98434,105.3274
